epoch,train_loss,train_obj_p2,train_obj_p3,train_obj_p4,train_bbox_p2,train_bbox_p3,train_bbox_p4,val_obj_p2,val_obj_p3,val_obj_p4,val_f1_p2,val_f1_p3,val_f1_p4,out_max_p4,out_std_p4,cells_above_03_p4,head_bias_p4,grad_norm,lr,epoch_time_s,gpu_mem_mb,mined
21,1.1204,0.0000,0.1351,0.8727,0.0497,0.0492,0.0150,0.2805,0.1236,0.8418,0.0000,0.2197,0.4097,0.0000,0.0000,0.0,-1.1006,3.7856,0.00477129,232.53,4365.5,0
22,1.1116,0.0000,0.1317,0.8671,0.0489,0.0493,0.0147,0.2802,0.1201,0.8536,0.0000,0.1872,0.3949,0.0000,0.0000,0.0,-1.1027,3.7862,0.00474258,217.37,4365.5,0
23,1.1095,0.0000,0.1288,0.8678,0.0506,0.0491,0.0146,0.2812,0.1237,0.8566,0.0000,0.1554,0.3761,0.0000,0.0000,0.0,-1.0750,3.7890,0.00471226,207.92,4365.5,0
24,1.1016,0.0000,0.1279,0.8636,0.0487,0.0483,0.0147,0.2788,0.1121,0.8274,0.0000,0.2467,0.4360,0.0000,0.0000,0.0,-1.0570,3.7068,0.00468035,196.79,4404.8,0
25,1.0940,0.0000,0.1247,0.8577,0.0487,0.0483,0.0145,0.2802,0.1150,0.8500,0.0000,0.2810,0.3918,0.0000,0.0000,0.0,-1.0557,3.7851,0.00464687,202.60,4404.8,0
26,1.0918,0.0000,0.1232,0.8572,0.0488,0.0484,0.0143,0.2811,0.1088,0.8298,0.0000,0.2391,0.4438,0.0000,0.0000,0.0,-1.0339,3.6849,0.00461184,203.49,4404.8,0
27,1.0872,0.0000,0.1221,0.8540,0.0487,0.0485,0.0139,0.2790,0.1111,0.8301,0.0000,0.1789,0.3990,0.0000,0.0000,0.0,-1.0097,3.8045,0.00457529,200.15,4365.5,0
28,1.0822,0.0000,0.1209,0.8508,0.0483,0.0482,0.0140,0.2768,0.1144,0.8240,0.0000,0.1698,0.4110,0.0000,0.0000,0.0,-1.0085,3.7354,0.00453725,204.13,4404.8,0
29,1.0808,0.0000,0.1208,0.8525,0.0487,0.0481,0.0143,0.2755,0.1067,0.8438,0.0000,0.2324,0.3560,0.0000,0.0000,0.0,-0.9833,3.6677,0.00449775,204.95,4365.5,0
30,1.0773,0.0000,0.1185,0.8483,0.0487,0.0480,0.0138,0.2772,0.1093,0.8149,0.0000,0.2869,0.4231,0.5952,0.0036,0.9,-0.9798,3.7453,0.00445680,210.99,4404.8,0
31,1.2000,0.1039,0.1186,0.8481,0.0620,0.0528,0.0146,0.0750,0.1052,0.8268,0.1301,0.2544,0.4047,0.0000,0.0000,0.0,-0.9657,4.1745,0.00441445,206.85,4090.3,0
32,1.1555,0.0821,0.1170,0.8423,0.0527,0.0496,0.0140,0.0748,0.1048,0.8240,0.0972,0.2452,0.4339,0.0000,0.0000,0.0,-0.9490,4.0492,0.00437072,205.92,4090.3,0
33,1.1506,0.0786,0.1162,0.8415,0.0508,0.0494,0.0141,0.0697,0.1014,0.8168,0.1252,0.2294,0.4469,0.0000,0.0000,0.0,-0.9442,3.9688,0.00432565,217.14,4090.3,0
34,1.1425,0.0768,0.1143,0.8384,0.0497,0.0493,0.0140,0.0769,0.1019,0.8140,0.1955,0.2683,0.4086,0.0000,0.0000,0.0,-0.9350,3.9606,0.00427926,208.17,4050.9,0
35,1.1428,0.0767,0.1139,0.8386,0.0507,0.0493,0.0136,0.0692,0.1036,0.8387,0.1352,0.2337,0.4395,0.0000,0.0000,0.0,-0.9238,3.9755,0.00423159,208.79,4090.3,0
36,1.1371,0.0738,0.1135,0.8372,0.0500,0.0489,0.0136,0.0725,0.1018,0.8158,0.1820,0.2042,0.4097,0.0000,0.0000,0.0,-0.9168,3.9054,0.00418268,209.89,4050.9,0
37,1.1286,0.0728,0.1120,0.8347,0.0495,0.0485,0.0136,0.0676,0.0990,0.8158,0.1550,0.2191,0.4659,0.0000,0.0000,0.0,-0.9092,3.8652,0.00413256,220.66,4050.9,0
38,1.1280,0.0718,0.1120,0.8357,0.0493,0.0484,0.0136,0.0648,0.0990,0.8157,0.1277,0.2092,0.3866,0.0000,0.0000,0.0,-0.9045,3.8636,0.00408126,198.84,4090.3,0
39,1.1233,0.0703,0.1109,0.8317,0.0485,0.0483,0.0135,0.0665,0.0993,0.8216,0.1134,0.2188,0.4457,0.0000,0.0000,0.0,-0.8901,3.8771,0.00402883,198.21,4090.3,0
40,1.1205,0.0691,0.1104,0.8299,0.0492,0.0486,0.0132,0.0633,0.0990,0.8126,0.1379,0.2089,0.3891,0.1580,0.0017,0.0,-0.8887,3.8382,0.00397529,199.49,4090.3,0
41,1.1147,0.0688,0.1087,0.8277,0.0482,0.0481,0.0132,0.0721,0.0993,0.8175,0.0858,0.1972,0.3876,0.0000,0.0000,0.0,-0.8776,3.8288,0.00392070,198.51,4090.3,0
42,1.1124,0.0690,0.1089,0.8272,0.0478,0.0480,0.0134,0.0625,0.0988,0.8043,0.1497,0.2607,0.4142,0.0000,0.0000,0.0,-0.8815,3.7708,0.00386508,198.93,4050.9,0
43,1.1129,0.0671,0.1088,0.8263,0.0491,0.0483,0.0133,0.0631,0.0975,0.8088,0.1459,0.2135,0.3850,0.0000,0.0000,0.0,-0.8730,3.8360,0.00380848,197.93,4050.9,0
44,1.1085,0.0669,0.1079,0.8249,0.0479,0.0477,0.0132,0.0634,0.0969,0.8106,0.1545,0.2265,0.4413,0.0000,0.0000,0.0,-0.8802,3.7712,0.00375095,195.94,4050.9,0
45,1.1064,0.0666,0.1071,0.8225,0.0492,0.0479,0.0132,0.0634,0.1015,0.8046,0.1318,0.1805,0.4452,0.0000,0.0000,0.0,-0.8627,3.8308,0.00369251,199.55,4090.3,0
46,1.1031,0.0657,0.1066,0.8215,0.0483,0.0478,0.0131,0.0629,0.0959,0.8124,0.1572,0.2294,0.4106,0.0000,0.0000,0.0,-0.8494,3.8163,0.00363322,202.09,4050.9,0
47,1.1017,0.0655,0.1066,0.8206,0.0481,0.0479,0.0130,0.0649,0.0968,0.8066,0.1451,0.2181,0.4512,0.0000,0.0000,0.0,-0.8510,3.8145,0.00357311,212.53,4090.3,0
48,1.0980,0.0651,0.1060,0.8195,0.0474,0.0473,0.0127,0.0737,0.0987,0.8033,0.0822,0.2086,0.4293,0.0000,0.0000,0.0,-0.8409,3.7657,0.00351223,204.99,4090.3,0
49,1.0900,0.0635,0.1048,0.8170,0.0485,0.0475,0.0130,0.0618,0.0952,0.7983,0.1617,0.2547,0.4312,0.0000,0.0000,0.0,-0.8458,3.7792,0.00345062,210.27,4050.9,0
50,1.0938,0.0643,0.1052,0.8162,0.0475,0.0476,0.0130,0.0608,0.0956,0.8035,0.1456,0.2489,0.4572,0.6151,0.0069,12.1,-0.8365,3.8150,0.00338834,216.66,4090.3,0
