epoch,train_loss,train_obj_loss,train_bbox_loss,train_pos_ratio,val_obj_loss,val_bbox_loss,val_precision,val_recall,val_f1,val_specificity,val_pos_ratio,val_mean_iou,val_iou_at_05,val_ece,mean_dx_err,mean_dy_err,mean_ls_err,lr,epoch_time_s,gpu_mem_mb,grad_norm,data_load_pct,compute_pct,max_update_ratio,mean_weight_cosine_sim,mean_l1_ratio,dead_neuron_pct,bn_mean_mean,epoch_gflops,cumulative_tflops,loss_per_tflop
1.0,21.080041,4.027372,17.052669,0.018952,3.071928,7.124532,0.0167,0.7135,0.0326,0.1891,0.018921,0.2902,0.2413,0.745284,0.722095,0.776475,1.026714,0.0002,53.0,1581.9,45.7205,6.3,93.7,50.326011,1.0,0.0,17.4,0.0,5963.04,5.963,3.5351
2.0,4.626518,1.260385,3.366133,0.018955,0.433028,2.229498,0.0173,0.1396,0.0309,0.8473,0.018938,0.3893,0.3315,0.252806,0.288706,0.307673,0.643401,0.0004,52.27,1581.9,17.9211,6.4,93.6,7.565074,0.999182,0.03084,17.42,0.0,5963.04,11.9261,0.7759
3.0,1.915793,0.242244,1.673549,0.018946,0.161586,1.426489,0.0147,0.008,0.0103,0.9897,0.018956,0.4416,0.411,0.076584,0.16402,0.202745,0.545483,0.0006,52.31,1581.9,10.5501,6.7,93.3,7.080411,0.999732,0.017431,17.39,0.0,5963.04,17.8891,0.3213
4.0,1.437488,0.138113,1.299375,0.018936,0.123514,1.195837,0.0159,0.0012,0.0023,0.9985,0.01896,0.463,0.4499,0.037695,0.120776,0.136263,0.51588,0.0008,52.17,1581.9,5.8499,6.7,93.3,2.929282,0.999876,0.011454,17.34,0.0,5963.04,23.8522,0.2411
5.0,1.300041,0.117589,1.182452,0.018951,0.112115,1.152837,0.0,0.0,0.0,0.9999,0.018938,0.4884,0.4958,0.026765,0.115031,0.122183,0.496096,0.001,53.05,1581.9,7.0707,6.6,93.4,2.560349,0.999916,0.008941,17.25,0.0,5963.04,29.8152,0.218
6.0,1.237759,0.110577,1.127182,0.018966,0.107467,1.086629,0.0,0.0,0.0,1.0,0.01899,0.5026,0.538,0.018871,0.08441,0.111295,0.479812,0.00099901,52.24,1581.9,6.1722,6.9,93.1,3.274928,0.999941,0.007312,17.22,0.0,5963.04,35.7783,0.2076
7.0,1.198426,0.106935,1.091491,0.018946,0.103829,1.05945,0.0,0.0,0.0,1.0,0.018933,0.5221,0.5877,0.013624,0.074535,0.08779,0.466357,0.00099606,52.09,1581.9,4.2325,6.7,93.3,1.223352,0.999954,0.0064,17.17,0.0,5963.04,41.7413,0.201
8.0,1.169186,0.104394,1.064792,0.018939,0.101644,1.061638,0.0,0.0,0.0,1.0,0.018927,0.4921,0.5208,0.012603,0.079213,0.0866,0.486981,0.00099114,51.74,1581.9,4.6493,6.8,93.2,1.427584,0.999956,0.006165,17.16,0.0,5963.04,47.7043,0.1961
9.0,1.154844,0.102737,1.052107,0.018928,0.101664,1.043609,0.0,0.0,0.0,1.0,0.018965,0.5104,0.5321,0.012808,0.071758,0.0959,0.47284,0.00098429,51.74,1581.9,4.7775,6.6,93.4,2.493516,0.999958,0.00596,17.13,0.0,5963.04,53.6674,0.1937
10.0,1.131755,0.101633,1.030122,0.018941,0.099682,1.018983,0.0,0.0,0.0,1.0,0.018956,0.5079,0.5359,0.011196,0.061866,0.076383,0.472984,0.00097553,52.09,1581.9,4.7209,6.6,93.4,3.50333,0.999959,0.005686,17.14,0.0,5963.04,59.6304,0.1898
11.0,1.121119,0.100634,1.020485,0.018946,0.099549,0.990388,0.0,0.0,0.0,1.0,0.018973,0.516,0.5677,0.011694,0.057338,0.071319,0.46261,0.00096489,52.02,1581.9,2.9805,6.7,93.3,1.147504,0.999959,0.005778,17.16,0.0,5963.04,65.5935,0.188
12.0,1.107547,0.09976,1.007787,0.018961,0.097545,0.988167,0.0,0.0,0.0,1.0,0.018971,0.515,0.5651,0.009409,0.05469,0.064742,0.462793,0.00095241,52.05,1581.9,3.3064,6.6,93.4,2.701928,0.999957,0.005755,17.12,0.0,5963.04,71.5565,0.1857
13.0,1.099946,0.098957,1.000989,0.018951,0.097308,0.996039,0.0,0.0,0.0,1.0,0.018944,0.4882,0.5043,0.01003,0.051877,0.068282,0.483094,0.00093815,52.02,1581.9,3.6434,6.4,93.6,1.032344,0.999954,0.006051,17.16,0.0,5963.04,77.5195,0.1845
14.0,1.089346,0.098613,0.990733,0.018945,0.096844,1.00461,0.0,0.0,0.0,1.0,0.018955,0.4777,0.4831,0.01037,0.051839,0.062797,0.49142,0.00092216,51.97,1581.9,3.8744,6.5,93.5,1.318707,0.999956,0.005864,17.15,0.0,5963.04,83.4826,0.1827
15.0,1.078862,0.097909,0.980953,0.018941,0.095752,0.964858,0.0,0.0,0.0,1.0,0.018969,0.5145,0.5626,0.007914,0.052167,0.061395,0.459079,0.00090451,52.38,1581.9,3.1617,6.6,93.4,1.796991,0.999953,0.006035,17.15,0.0,5963.04,89.4456,0.1809
16.0,1.079864,0.097409,0.982455,0.018939,0.095964,0.967538,0.0,0.0,0.0,1.0,0.018938,0.5318,0.5947,0.009134,0.051951,0.062696,0.449733,0.00088526,52.24,1581.9,3.2428,6.7,93.3,0.764352,0.999952,0.006263,17.12,0.0,5963.04,95.4087,0.1811
17.0,1.064946,0.096802,0.968144,0.018944,0.094932,0.953193,0.0,0.0,0.0,1.0,0.018943,0.5298,0.5871,0.007,0.049618,0.052925,0.448697,0.00086448,53.15,1581.9,2.5959,6.7,93.3,0.711112,0.999948,0.00623,17.13,0.0,5963.04,101.3717,0.1786
18.0,1.061291,0.096542,0.964749,0.018939,0.095046,0.949314,0.0,0.0,0.0,1.0,0.01893,0.4955,0.5107,0.009744,0.049294,0.055232,0.469514,0.00084227,55.3,1581.9,3.1424,6.5,93.5,0.937476,0.999946,0.006368,17.11,0.0,5963.04,107.3348,0.178
19.0,1.055623,0.095839,0.959784,0.018966,0.093673,0.942724,0.0,0.0,0.0,1.0,0.018938,0.5169,0.5621,0.006129,0.045761,0.058986,0.454946,0.00081871,54.43,1581.9,3.629,6.3,93.7,1.266574,0.999952,0.006091,17.12,0.0,5963.04,113.2978,0.177
20.0,1.052847,0.095487,0.95736,0.018935,0.093715,0.936314,0.0,0.0,0.0,1.0,0.018936,0.5271,0.5764,0.008762,0.044799,0.050741,0.44805,0.00079389,54.95,1581.9,4.3134,6.5,93.5,2.073888,0.999949,0.006333,17.11,0.0,5963.04,119.2608,0.1766
21.0,1.043747,0.095079,0.948668,0.018939,0.094438,0.927278,0.0,0.0,0.0,1.0,0.018928,0.5264,0.5751,0.011043,0.04236,0.047331,0.447076,0.00076791,54.19,1581.9,3.1277,6.6,93.4,1.599148,0.999949,0.006295,17.12,0.0,5963.04,125.2239,0.175
22.0,1.035894,0.094589,0.941305,0.018963,0.093819,0.945156,0.0,0.0,0.0,1.0,0.018943,0.4952,0.511,0.010103,0.039522,0.05062,0.470697,0.00074088,53.67,1581.9,3.1705,6.6,93.4,1.42015,0.999951,0.006157,17.11,0.0,5963.04,131.1869,0.1737
23.0,1.034959,0.093929,0.94103,0.01893,0.091809,0.926275,0.0,0.0,0.0,1.0,0.018975,0.5316,0.5846,0.00796,0.040091,0.054619,0.443387,0.00071289,52.77,1581.9,2.8552,6.5,93.5,0.99756,0.999938,0.006757,17.09,0.0,5963.04,137.15,0.1736
24.0,1.030028,0.093315,0.936713,0.018948,0.091107,0.909341,1.0,0.0003,0.0005,1.0,0.018944,0.5264,0.5768,0.009743,0.040245,0.055164,0.443324,0.00068406,53.31,1581.9,3.0856,6.3,93.7,1.955773,0.999943,0.006528,17.06,0.0,5963.04,143.113,0.1727
25.0,1.023377,0.093014,0.930363,0.018947,0.091306,0.952209,1.0,0.0001,0.0003,1.0,0.018921,0.4922,0.5037,0.01074,0.041017,0.054122,0.4733,0.00065451,53.43,1581.9,5.1166,6.6,93.4,1.992776,0.99995,0.006148,17.06,0.0,5963.04,149.076,0.1716
26.0,1.015707,0.092084,0.923623,0.018936,0.08985,0.929275,0.625,0.0003,0.0006,1.0,0.018967,0.4927,0.5024,0.010537,0.036823,0.047092,0.469335,0.00062434,53.52,1581.9,1.9973,6.8,93.2,0.795472,0.999952,0.006097,17.0,0.0,5963.04,155.0391,0.1703
