epoch,train_loss,obj_loss,iou_loss,bbox_loss,p2_obj_loss,p2_iou_loss,p2_bbox_loss,val_hm_obj,val_hm_f1,val_hm_prec,val_hm_rec,val_p2_hm_obj,val_p2_hm_f1,val_p2_hm_prec,val_p2_hm_rec,det_peaks,det_boxes,det_tiny,det_kept,p2_det_peaks,p2_det_boxes,p2_det_tiny,p2_det_kept,obj_bias_val,obj_bias_sig,obj_w_l2,bbox_w_l2,p2_obj_bias_val,p2_obj_bias_sig,p2_obj_w_l2,p2_bbox_w_l2,obj_sig_max,obj_sig_mean,obj_sig_std,p2_obj_sig_max,p2_obj_sig_mean,p2_obj_sig_std,bn_mean_abs,bn_var_avg,grad_norm,lr,epoch_time_s,gpu_mem_mb,nan_skips
1,392.5704,182.2567,0.0390,0.8523,407.3543,0.0571,0.9365,0.2205,0.0000,0.0000,0.0000,0.1955,0.0000,0.0000,0.0000,0,0,0,0,202,202,178,24,-2.5127,0.0750,13.6004,14.5988,-2.5165,0.0747,11.6520,11.0640,0.0853,0.0388,0.0094,0.0935,0.0253,0.0120,0.1264,2.0020,427.8391,0.00030000,350.22,5357,0
2,13.6213,5.9661,0.0317,0.7012,4.3541,0.0376,0.7788,0.2941,0.0000,0.0000,0.0000,0.2004,0.0000,0.0000,0.0000,1584,1584,0,1584,17,17,16,1,-2.4730,0.0778,13.6904,14.6774,-2.5226,0.0743,11.5503,10.9610,0.4873,0.2188,0.0586,0.0868,0.0234,0.0133,0.3251,8.1515,220.7089,0.00029998,352.35,5357,0
3,11.3577,1.0260,0.0308,0.6431,10.2418,0.0401,0.7880,0.3587,0.1595,0.3581,0.1026,0.1829,0.0000,0.0000,0.0000,1700,1700,0,1700,6535,6535,4094,2441,-2.4881,0.0767,13.7403,14.7085,-2.5185,0.0746,11.3950,10.7938,0.7397,0.2515,0.0863,0.5068,0.0365,0.0299,0.8807,19.3889,129.3535,0.00029993,346.21,5357,0
4,18.0556,0.8963,0.0296,0.6087,24.1794,0.0374,0.8007,0.3803,0.0000,0.0000,0.0000,0.2199,0.0000,0.0000,0.0000,1573,1573,0,1573,7568,7568,2152,5416,-2.5087,0.0752,13.7305,14.6803,-2.5336,0.0735,11.1695,10.6204,0.4692,0.2289,0.0288,0.3579,0.0634,0.0244,1.6220,26.5109,693.4470,0.00029984,341.19,5357,0
5,17.5546,0.8316,0.0294,0.5720,23.7767,0.0368,0.7803,4.4945,0.0000,0.0000,0.0000,0.2013,0.0000,0.0000,0.0000,1339,1339,0,1339,3325,3325,1574,1751,-2.5208,0.0744,13.6947,14.5396,-2.6127,0.0683,10.9647,10.4581,0.0211,0.0036,0.0021,0.0415,0.0168,0.0057,2.3419,34.8541,75.4171,0.00029971,342.01,5357,0
6,10.6675,0.7941,0.0290,0.5311,10.5982,0.0329,0.7584,0.2568,0.0000,0.8571,0.0000,0.2013,0.0000,0.0000,0.0000,1823,1823,0,1823,5091,5091,2002,3089,-2.5320,0.0736,13.6649,14.4798,-2.6376,0.0668,10.7659,10.3169,0.4751,0.2405,0.0484,0.1195,0.0190,0.0066,2.8117,41.0317,28.6273,0.00029955,335.22,5357,0
7,11.8367,0.8056,0.0285,0.5206,13.0251,0.0345,0.7571,0.4838,0.0000,0.0000,0.0000,0.1944,0.0000,0.0000,0.0000,1550,1550,0,1550,4453,4453,3084,1369,-2.5488,0.0725,13.5924,14.3719,-2.6754,0.0644,10.5762,10.1396,0.0112,0.0041,0.0020,0.1272,0.0228,0.0153,3.4826,51.1825,43.0459,0.00029936,337.46,5357,0
8,10.0167,0.7753,0.0287,0.5084,9.5757,0.0349,0.7554,0.3276,0.0030,0.2464,0.0015,0.2192,0.0000,0.0000,0.0000,1579,1579,0,1579,1002,1002,819,183,-2.5509,0.0724,13.5191,14.2929,-2.6856,0.0638,10.4582,10.0498,0.5469,0.2408,0.0742,0.1594,0.0233,0.0149,4.2610,72.1110,29.2893,0.00029912,337.87,5357,0
9,8.3284,0.8104,0.0289,0.4886,6.3989,0.0375,0.7406,0.3670,0.0000,0.0000,0.0000,0.2069,0.0000,0.0000,0.0000,1533,1533,1,1532,445,445,108,337,-2.5527,0.0722,13.4618,14.2159,-2.7025,0.0628,10.3402,9.9456,0.4490,0.2487,0.0640,0.1134,0.0199,0.0091,5.0299,84.5918,20.5202,0.00029886,342.35,5357,0
10,6.9953,0.7422,0.0282,0.4603,4.2818,0.0334,0.7153,0.2990,0.0000,0.0000,0.0000,0.2032,0.0000,0.0000,0.0000,1733,1733,83,1650,199,199,92,107,-2.5615,0.0717,13.3623,14.1717,-2.7189,0.0619,10.2545,9.8480,0.4534,0.2136,0.0756,0.1193,0.0174,0.0081,5.7826,97.4163,34.1807,0.00029855,334.86,5357,0
